country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Germany,aromas peach lime mineral make firstrate initial impression follow zesty citrus flavor enhance rather overpower briny minerality 13 alcohol maintain wonderful balance alcohol acid hint sugar long mouthwatering finish ,Forster Musenhang Spätlese Trocken,90,36.0,Pfalz,,,Joe Czerwinski,@JoeCz,Georg Mosbacher 2007 Forster Musenhang Spätlese Trocken Riesling (Pfalz),Riesling,Georg Mosbacher
US,compare highlands regular cab great example sometimes less 06 reserve gigantic wine ripely extract currants taste new smoky oak size make ponderous question one ageability could well sleeper try beyond 2010 ,Reserve,90,75.0,California,Howell Mountain,Napa,,,Highlands 2006 Reserve Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Highlands
South Africa,nose ripe plum savory spice character sophisticate red palate cedar mocha pepper give rich brood quality tannins fine ageable finish linger spicy pair richer meat dish give years age even better ,Mill Race,90,20.0,Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,Vergelegen 2005 Mill Race Cabernet Sauvignon-Merlot (Stellenbosch),Cabernet Sauvignon-Merlot,Vergelegen
US,big buttery chardonnay especially appeal like californiastyle flavor enhance firm acids characteristic washington state generous streak vanilla cream soft buttery mouthfeel yet fruit enough precision focus wine lose definition delicious wine drink next three four years ,Conner Lee Vineyard,90,18.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Arbor Crest 2006 Conner Lee Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,Arbor Crest
US,negociant hughes continue produce compel win everyday price syrah one napa valleys best mountain regions dry thick refine tannins rich black currants black cherries chocolate pepper sweet smoky oak delicious ,Lot 113,90,14.0,California,Mount Veeder,Napa,,,Cameron Hughes 2006 Lot 113 Syrah (Mount Veeder),Syrah,Cameron Hughes
Italy,liquid smoke brimstone tar asphalt licorice mesquite follow dense aromas black cherry dry currants mature plums wine ripe chewy side ultimately find balance thank naturally firm tannins fruity freshness ,,90,58.0,Tuscany,Brunello di Montalcino,,,,Camigliano 2004  Brunello di Montalcino,Sangiovese Grosso,Camigliano
France,ripe elegant wine balance fresh currant red plum fruit mineral dry structure acidity pure fruit solid tannins work harmoniously together ,,90,25.0,Bordeaux,Moulis-en-Médoc,,Roger Voss,@vossroger,Château Dutruch Grand Poujeaux 2005  Moulis-en-Médoc,Bordeaux-style Red Blend,Château Dutruch Grand Poujeaux
Italy,vibrant fresh brunello offer thick layer plush fruit back shade spice leather cola mouthfeel succulent chewy tannins give wine dimension backbone drink 2015 ,,90,53.0,Tuscany,Brunello di Montalcino,,,,Ciacci Piccolomini d'Aragona 2004  Brunello di Montalcino,Sangiovese Grosso,Ciacci Piccolomini d'Aragona
US,heres strongly flavor merlot make ultraripe fruit didnt good structure blackberry currant mocha anise flavor alone would make fruit bomb fortunately fine acidity gorgeously thick tannins give structure backbone best year two ,Crane Ranch Vineyard,90,30.0,California,Napa Valley,Napa,,,Crane Brothers 2005 Crane Ranch Vineyard Merlot (Napa Valley),Merlot,Crane Brothers
Spain,one sniff announce wood pile worth toasty dusty oak theres bold tempranillo fruit classic rdd terroir absorb ripe palate equal part mull black fruit spice mocha finish smooth generous extract nothing grate grabby drink 2012 ,Tinto Figuero 15 Reserva,90,54.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,García Figuero 2004 Tinto Figuero 15 Reserva  (Ribera del Duero),Tempranillo Blend,García Figuero
Germany,broad mouthfilling dry riesling feature powerful flavor bake apple dry spice uplift amplify oily minerally accent touch offdry balance finish crisp acids pronounce minerality ,Forster Jesuitengarten Grosses Gewachs Trocken,90,25.0,Pfalz,,,Joe Czerwinski,@JoeCz,Geh. Rat Dr. von Bassermann-Jordan 2007 Forster Jesuitengarten Grosses Gewachs Trocken Riesling (Pfalz),Riesling,Geh. Rat Dr. von Bassermann-Jordan
Germany,relatively low residual sugar wine give leaner feel mosbachers 2007s fruit come lime grapefruit passion fruit mark forsts prominent minerality crisp long would pair well many seafood dish ,Forster Elster Kabinett Trocken,90,27.0,Pfalz,,,Joe Czerwinski,@JoeCz,Georg Mosbacher 2007 Forster Elster Kabinett Trocken Riesling (Pfalz),Riesling,Georg Mosbacher
Australia,littleknown region western australia restrain structure example chardonnay may drink well 5–6 years subtle vanilla bacon shade upfront add nuance melon pear aromas flavor soft fully ripe tree fruit melon hold check citrusy note crisp acids ,,90,33.0,Western Australia,Pemberton,,Joe Czerwinski,@JoeCz,Picardy 2006 Chardonnay (Pemberton),Chardonnay,Picardy
Italy,great chianti classico riserva offer everything look wine tuscany theres freshness pristine cherry aromas along spice black mineral fresh acidity close wine approachable soft ultimately foodfriendly ,San Leonino Riserva,90,37.0,Tuscany,Chianti Classico,,,,Tenimenti Angelini 2005 San Leonino Riserva  (Chianti Classico),Sangiovese,Tenimenti Angelini
Italy,one thing weve discover tenuta la fuga perform evenly year year despite climatic variations extremes thats telltale sign good winemaking brunello deliver sure bet consumers thank soft supple mouthfeel linger aromas succulent cherry spice ,,90,65.0,Tuscany,Brunello di Montalcino,,,,Tenuta La Fuga 2004  Brunello di Montalcino,Sangiovese Grosso,Tenuta La Fuga
Italy,enzo tiezzi perfect classic traditional brunello deliver tonic fresh wine would pair magically hearty meat pasta dish need break extra acidity nose show aromas sweet spice almond vanilla caramel wild berry ,,90,70.0,Tuscany,Brunello di Montalcino,,,,Tiezzi 2004  Brunello di Montalcino,Sangiovese Grosso,Tiezzi
US,ripe fruity delicious flatter deep long flavor blackberry black currants cassis cedar lush tannic mouthfeel long finish nice develop beyond 2012 ,Chicken Ranch Vineyard,90,30.0,California,Rutherford,Napa,,,Trinchero 2005 Chicken Ranch Vineyard Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Trinchero
Italy,modern vineyarddesignate riserva offer toast note spice nut crème caramel fruit note surround mineral earthy shade mouthfeel gritty firm persistent ,Vigna Misciano Riserva,90,34.0,Tuscany,Chianti Classico,,,,Borgo Scopeto 2005 Vigna Misciano Riserva  (Chianti Classico),Sangiovese,Borgo Scopeto
Italy,franco pacenti make excellent use wood result brunello show fine balance fruit spice wine exhibit slightly brownish hue bring bright freshness acidity table pair pasta cheese risotto ,,90,25.0,Tuscany,Brunello di Montalcino,,,,Canalicchio Franco Pacenti 2004  Brunello di Montalcino,Sangiovese Grosso,Canalicchio Franco Pacenti
France,make 5050 cabernet franc cabernet sauvigon dry orangepinkcolored wine appreciable amount tannin well plenty fruit acidity ripe raspberries show strongly well crisp final acidity drink ,La Camélias,85,13.0,Loire Valley,Rosé de Loire,,Roger Voss,@vossroger,Château de la Roulerie 2014 La Camélias  (Rosé de Loire),Rosé,Château de la Roulerie
France,wine ripe red fruit flavor dry core balance tannins plenty acidity end drink maurin familys organic vineyards permit grapes bordeaux good thing difficult vintage blend merlot 60 carmenère 15 petit verdot 15 malbec 10 ,,85,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château la Croix de Roche 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château la Croix de Roche
France,wine structure although plenty ripe full berry fruit drink 2017 blend include 50 merlot 40 cabernet sauvignon 10 cabernet franc ,,85,25.0,Bordeaux,Côtes de Bordeaux,,Roger Voss,@vossroger,Château Les Hauts de Palette 2012  Côtes de Bordeaux,Bordeaux-style Red Blend,Château Les Hauts de Palette
France,wine light fruity well balance plenty red berry flavor light tannins fresh ready drink late 2016 30acre vineyard one appellations highest spot buy 2009 denis durantou owner château léglise clinet pomerol ,,85,25.0,Bordeaux,Castillon Côtes de Bordeaux,,Roger Voss,@vossroger,Château Montlanderie 2013  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Château Montlanderie
France,plenty weight support ripe fruit balance perfume wine structure tannins along fresh black currant flavor 8020 merlotcabernet sauvignon blend drink 2016 ,,85,15.0,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Roc Montalon 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Roc Montalon
France,soft gentle sparkle wine fresh raspberry fruit acidity end drink apéritif ,Saint-Pierre Rosé Brut,85,24.0,France Other,Vin Mousseux,,Roger Voss,@vossroger,Château Saint-Pierre NV Saint-Pierre Rosé Brut Sparkling (Vin Mousseux),Sparkling Blend,Château Saint-Pierre
US,lemon herb aromas suggest lean crisp wine flavor fairly ripe texture rich soft appley floral tart pleasant sip ,Authentic,85,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Gnarly Head 2013 Authentic White (California),White Blend,Gnarly Head
US,light aromas passion fruit grapefruit follow tropical flavor linger easy drink quaffer ,,85,10.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,14 Hands 2014 Sauvignon Blanc (Washington),Sauvignon Blanc,14 Hands
US,vivid plum prune aromas flavor define generous rather softtextured wine fruit component rich jammy tannins mild overall effect grapy almost sweet ,,85,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,Alias 2013 Cabernet Sauvignon (California),Cabernet Sauvignon,Alias
US,airy confection aromas lemon vanilla almost sweet flavor butterscotch lemon cream fairly soft texture light medium body ,Vineyard Selection,85,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Angel's Cup 2013 Vineyard Selection Chardonnay (California),Chardonnay,Angel's Cup
Italy,aromas wet earth leafy underbrush dark berry lead nose informal red simple palate rather dilute offer note dry black cherry orange peel nut alongside zesty acidity ,,85,20.0,Piedmont,Barbera d'Alba Superiore,,Kerin O’Keefe,@kerinokeefe,Arbéta 2013  Barbera d'Alba Superiore,Barbera,Arbéta
US,hint dusty mineral nut spice lend savory tone apple pear cut crisp riesling hone steely palate finish reverberate bitter limezest note ,Dry,85,16.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Atwater 2013 Dry Riesling (Seneca Lake),Riesling,Atwater
Chile,blend green herbal front follow nose palate solid chewy raw flavor berry olive mix spice herbal minty green finish note herbs chocolate heat fit bill 85 cabernet sauvignon carmenère merlot ,Grand Reserve,85,18.0,Maule Valley,,,Michael Schachner,@wineschach,Balduzzi 2012 Grand Reserve Red (Maule Valley),Red Blend,Balduzzi
France,attractive simply fruity chenin blanc wine drink full nutty flavor apple acidity touch minerality give wine tension ,Les Pouches,85,14.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Cave de Saumur 2014 Les Pouches  (Saumur),Chenin Blanc,Cave de Saumur
US,lighter color body many counterparts wine present sour blackberry woody herb nose black olives elderberries cedar black pepper beef flavor show gravelly palate ,,85,32.0,California,South Coast,South Coast,Matt Kettmann,@mattkettmann,Hawk Watch Winery 2012 Syrah (South Coast),Syrah,Hawk Watch Winery
Spain,scratchy aromas red fruit register raw note animal hide feel racy wild lively briny rugged flavor raspberry plum finish tart pickle note wont let go ,Alphabet Wines,85,15.0,Levante,Yecla,,Michael Schachner,@wineschach,La Purísima 2013 Alphabet Wines Monastrell (Yecla),Monastrell,La Purísima
US,reserve aromas spice pear lychee follow mediumsweet flavor pair yellow curry ,,85,6.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Two Vines 2014 Gewürztraminer (Washington),Gewürztraminer,Two Vines
Chile,earthy woody aromas suggest oak coconut coffee herbal olive note also present bite sharp shear term acidity creamy vanilla flavor mellow win racy plum cherry character ,Reserva Privada,85,15.0,Maule Valley,,,Michael Schachner,@wineschach,Viña Casas Patronales 2012 Reserva Privada Cabernet Sauvignon (Maule Valley),Cabernet Sauvignon,Viña Casas Patronales
US,low oak high acidity wine skew tart highstrung term citrus wet stonelike notions offer bouquet lemon chiffon nice entry finish surround lessintriguing middle ,,85,15.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Ministry of the Vinterior 2013 Chardonnay (Russian River Valley),Chardonnay,Ministry of the Vinterior
Chile,jammy blackfruit aromas woody reduce come across cheesy thick tannic oaky body home flavor plastic creamy oak vanilla char berry pasty oaky creamy finish ,La Finca Clos D'Angel,85,13.0,Colchagua Valley,,,Michael Schachner,@wineschach,Montes 2012 La Finca Clos D'Angel Malbec (Colchagua Valley),Malbec,Montes
US,doesnt taste true grape variety good white wine orange peel jasmine tangerine aromas fairly quiet fruit flavor floral citrus finish light medium body appetizing texture ,,85,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,One Leaf 2012 Chardonnay (California),Chardonnay,One Leaf
US,light aromas herbs woodspice tire rubber red fruit lead jammy raspberry spice flavor provide easy drink pleasure ,,85,10.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Sagelands 2013 Merlot (Columbia Valley (WA)),Merlot,Sagelands
Chile,cola berry aromas jumpy feel tight rubbery reasonably well focus standard plum berry flavor restrain finish fruity clip end ,Reserva Encinos,85,12.0,Colchagua Valley,,,Michael Schachner,@wineschach,Santa Luz 2014 Reserva Encinos Malbec (Colchagua Valley),Malbec,Santa Luz
US,buoyantly aromatic blossomy traminette sparkle wine stand line traditional champagnestyle sparklers heady rise gardenia tone feel perfumey palate brisk acidity soft pillowy foam pleasant ,Freelings Creek Reserve Sparkling,85,18.0,New York,Lake Erie,Finger Lakes,Anna Lee C. Iijima,,Johnson Estate 2013 Freelings Creek Reserve Sparkling Traminette (Lake Erie),Traminette,Johnson Estate
US,softtextured rather lightbodied fruitforward offer smell taste like pear apple grape juices touch sweetness low acidity ,,85,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,Koz 2012 Chardonnay (California),Chardonnay,Koz
France,fresh red fruit smooth caramel spice flavor give ripe feel wine light ready drink ,,85,25.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Le Roi des Pierres 2014 Rosé (Sancerre),Rosé,Le Roi des Pierres
US,rich texture rather ripe fruit flavor make softer broader taste many peer flavor like fuji apple bartlett pear appeal mouthfeel smooth easy rather crisp ,Blue Quail,85,15.0,California,Potter Valley,,Jim Gordon,@gordone_cellars,McFadden 2014 Blue Quail Pinot Gris (Potter Valley),Pinot Gris,McFadden
US,fresh peach light floral aromas lead ripe grapey flavor soft soothe texture mediumbodied wine smooth low acid charm flowery element help stand ,,85,15.0,California,Potter Valley,,Jim Gordon,@gordone_cellars,McFadden 2014 Chardonnay (Potter Valley),Chardonnay,McFadden
US,make oregon winery carneros region grapes wine taste mellow mature relatively light color auburn rim aromas savory meaty flavor like rhubarb beef fairly crisp balance smooth texture ,,85,29.0,California,California,California Other,Jim Gordon,@gordone_cellars,Ardiri Winery and Vineyards 2012 Pinot Noir (California),Pinot Noir,Ardiri Winery and Vineyards
US,herb currant vanilla tirerubber aromas fore blackberry flavor drink dry sweeten toward finish ,The Expedition,85,15.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Canoe Ridge 2013 The Expedition Merlot (Horse Heaven Hills),Merlot,Canoe Ridge
US,fresh zingy ripe blackberry flavor wellmade zin firm tannins dollop peppery spice finish ,Vintner's Reserve,88,17.0,California,Mendocino County,,Virginie Boone,@vboone,Kendall-Jackson 2011 Vintner's Reserve Zinfandel (Mendocino County),Zinfandel,Kendall-Jackson
Italy,offer aromas oak chocolate raisin palate black cherry prune flavor accompany bittersweet chocolate vanilla evident oak sensations already evolve drink next year two ,Corpus,88,25.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Villa Rinaldi 2000 Corpus  (Amarone della Valpolicella),Red Blend,Villa Rinaldi
Argentina,pencil eraser iodine latex blueberry aromas settle better start mouth saturate chunky feel toasty flavor blackberry licorice mint finish long herbal loamy ,Famiglia Bianchi,88,19.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Valentin Bianchi 2010 Famiglia Bianchi Malbec (Mendoza),Malbec,Valentin Bianchi
US,entice idiosyncratic nose merlot offer note rise petal smoke blood orange caraway seed palate medium body 13 alcohol give sense finesse fine firm tannins frame cherry fruit finish hint maduro rise ,Reserve,88,35.0,Virginia,Monticello,,,,Jefferson Vineyards 2008 Reserve Merlot (Monticello),Merlot,Jefferson Vineyards
US,theres lot rich chardonnay character affordable wine rich vanilla butter toast honey orange pineapplejam flavor brisk acidity provide balance great price chard good ,Annabella Special Selection,88,13.0,California,Sonoma County-Napa County,Napa-Sonoma,,,Michael Pozzan 2011 Annabella Special Selection Chardonnay (Sonoma County-Napa County),Chardonnay,Michael Pozzan
US,pinot start tight time glass open reveal black raspberry mushroom cola exotic spice note dry yet silky mouth pretty wine price comparative bargain ,Forty-Seven Friends,88,19.0,California,Sonoma County,Sonoma,,,Ancient Oak Cellars 2010 Forty-Seven Friends Pinot Noir (Sonoma County),Pinot Noir,Ancient Oak Cellars
US,impressive power wine considerable interest complexity rich black cherries red currants cola bacon spice flavor texture really stand combination firm tannins brilliant acidity oak provide complicate note sweet toast drink soon ,Exuberance,88,45.0,California,Sonoma Valley,Sonoma,,,Canihan 2009 Exuberance Syrah (Sonoma Valley),Syrah,Canihan
Spain,everything lighterframed navarran blend echo european red win racy crisp oppose big extract dark woody fresh raspberry aromas zesty acidity earthy flavor red berry spice offset cocoa vanilla akin bordeaux go nicely kinds food ,Crianza,88,16.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Finca Albret 2009 Crianza Red (Navarra),Red Blend,Finca Albret
US,perfume cinnamonflowery aromatics wellvalued zin softly spice lush smooth drinkable black cherry flavor plenty personality ,Ancient Vine,88,15.0,California,Contra Costa County,Central Coast,Virginie Boone,@vboone,Cline 2012 Ancient Vine Zinfandel (Contra Costa County),Zinfandel,Cline
US,ideal antichardonnay white wine theres oak interfere lemon lime mineral flavor acidity brisk mouthwatering dry crisply brilliant wine drink everything sushi tuna tartare ,Rancho Arroyo Perdido,88,29.0,California,Santa Barbara County,Central Coast,,,Collection 35 2012 Rancho Arroyo Perdido Grüner Veltliner (Santa Barbara County),Grüner Veltliner,Collection 35
France,fullbodied wine ripe pear red apple flavor lace delicate acidity elegant wine fine balance mineral tight texture counterpoint drink 2014 ,Château de Chamirey,88,35.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaines Devillard 2011 Château de Chamirey  (Mercurey),Chardonnay,Domaines Devillard
France,smooth round wine ripe plum blueberry flavor well integrate soft tannins sweet acidity drinkable worth wait two years ,Château de Chamirey,88,35.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaines Devillard 2011 Château de Chamirey  (Mercurey),Pinot Noir,Domaines Devillard
France,dark structure wine coffee well fruit flavor wood come firmly produce solid dry character juicy black currant fruit still show well wait drink 2015 ,Domaine de la Ferté Premier Cru Servoisine,88,40.0,Burgundy,Givry,,Roger Voss,@vossroger,Domaines Devillard 2011 Domaine de la Ferté Premier Cru Servoisine  (Givry),Pinot Noir,Domaines Devillard
Italy,amarone load big fruit sensations ripe cherry plum along raisin chocolate oak accent rather one dimensional delicious fruit perfect immediate enjoyment ,Grotta del Ninfeo,88,42.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Domenico Fraccaroli 2008 Grotta del Ninfeo  (Amarone della Valpolicella),Red Blend,Domenico Fraccaroli
US,intensely concentrate black currants cassis liqueur oak aromas flavor cabernet strong practically undrinkable potent tannins bright acidity raw jammy quality fruit elements could begin come together 2017 ,No. 77,88,75.0,California,Mount Veeder,Napa,,,Foyt Family 2009 No. 77 Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Foyt Family
France,small enclave buzet make win bordeaux style black currant fruitiness firm tannins wine age well show ripe juicy fruit solid dry core refresh crisp acidity end ,Château Tournelles,88,20.0,Southwest France,Buzet,,Roger Voss,@vossroger,Georges Vigouroux 2010 Château Tournelles Red (Buzet),Red Blend,Georges Vigouroux
Austria,spicy character wine rich feel offer round palate touch mango alongside complex almond spice pear flavor ,,88,25.0,Burgenland,,,Roger Voss,@vossroger,Giefing 2011 Traminer (Burgenland),Traminer,Giefing
US,spicy red currant fruit come quickly back grapes signature accent stem earth theres residual flavor slightly bitter tomato leaf ,Stillwater Creek Vineyard,88,28.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Novelty Hill 2010 Stillwater Creek Vineyard Malbec (Columbia Valley (WA)),Malbec,Novelty Hill
US,winerys leftbankbordeauxstyle blend three quarter cabernet sauvignon please mix red black fruit licorice toast smoke spend two half years french oak 60 new wine quite tasty drink well though blend lack focus ,The Main Event,88,35.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Scarborough 2010 The Main Event Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Scarborough
France,rich wine full black fruit ripe tannins juicy acidity powerful structure show mineral texture bold acidity ample fruitiness ,Domaine de la Croix Rouge,88,20.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Signé Vigneron 2012 Domaine de la Croix Rouge  (Juliénas),Gamay,Signé Vigneron
Italy,open funky unpleasant aromas soon burn reveal earthy note mature black fruit palate show ripe—almost overripe—blackberry flavor mushroom tobacco leaf accent ripe fruit still immediate appeal get tire drink soon ,,88,85.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Trabucchi d'Illasi 2007  Amarone della Valpolicella,Red Blend,Trabucchi d'Illasi
US,dont let label mislead dessert wine offdry pretty suite lemon orange citrus peel flavor whiff tea run aromas bite lemon oil finish ,Late Harvest,88,11.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Hogue 2012 Late Harvest Riesling (Columbia Valley (WA)),Riesling,Hogue
France,delicate crisp pure wine perfume white flower continue addition ripe pear lime crisp end drink also keep 2017 ,Tradition,88,17.0,Alsace,Alsace,,Roger Voss,@vossroger,Kuentz-Bas 2011 Tradition Riesling (Alsace),Riesling,Kuentz-Bas
France,smooth soft warm wine show richness well lightly rustic character disappear wine age fine tannins layer crisp acidity stalky spicy texture drink keep 2016 ,,88,25.0,Southwest France,Gaillac,,Roger Voss,@vossroger,Lionel Osmin & Cie 2012 Red (Gaillac),Red Blend,Lionel Osmin & Cie
Italy,heres bright delicious ripasso load note black cherry exotic spice white pepper hint bitter almond freshness structure make perfect pair savory stew salami grill steaks ,Le Morete,88,20.0,Veneto,Valpolicella Classico Superiore Ripasso,,Kerin O’Keefe,@kerinokeefe,Manara 2010 Le Morete  (Valpolicella Classico Superiore Ripasso),Red Blend,Manara
Italy,make friulano pinot grigio sauvignon malvasia ribolla gialla blend represent major white varieties friuli offer aromas spanish broom lemon drop apricot mineral flavor finish long clean ,Blanc des Rosis,88,30.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Mario Schiopetto 2011 Blanc des Rosis White (Collio),White Blend,Mario Schiopetto
US,top cuvée mercer estates reserve bordeauxstyle blend base upon 64 merlot rest mix cabernet sauvignon malbec petit verdot firm entry introduce solid midpalate mix black fruit coffee toast finish clean gentle moderate persistence ,Cavalie Reserve,88,40.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Mercer 2010 Cavalie Reserve Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Mercer
Italy,offer aromas mature black fruit raisin palate deliver vibrant blackcherry core layer accent black pepper asian spice also fresh acidity vintage pair well buttery dish cure meats ,,88,27.0,Veneto,Valpolicella Classico Superiore Ripasso,,Kerin O’Keefe,@kerinokeefe,Montecariano 2009  Valpolicella Classico Superiore Ripasso,Red Blend,Montecariano
US,young stainless steelfermented chardonnay beery hoppiness aromas lead tart juicy crisp palate lime grapefruit acids taste wet stone vivid minerality bring dimension lift finish ,Unoaked,88,13.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Airfield Estates 2012 Unoaked Chardonnay (Yakima Valley),Chardonnay,Airfield Estates
Italy,unfettered enjoyable amarone upfront aromas black fruit palate show ripe exuberant plum prune flavor hint chocolate pair season cheese braise meat dish ,,88,47.0,Veneto,Amarone della Valpolicella,,Kerin O’Keefe,@kerinokeefe,Antica Corte 2010  Amarone della Valpolicella,Red Blend,Antica Corte
US,wine abundant aromas cherry coke sarsaparilla bake spice palate delicate yet give weight seven months neutral french american oak wine gain soft texture tannat skin add fermentation ,,87,18.0,Virginia,Virginia,,Carrie Dykes,,Fabbioli Cellars 2013 Chambourcin (Virginia),Chambourcin,Fabbioli Cellars
US,neonwatermelon sparkler show playfully fruity aromas watermelon hard candy fresh strawberries ample acidity keep palate lively ripe watermelon cherry strawberry flavor carry bright finish ,Blanc de Noir Brut,87,25.0,America,,,Fiona Adams,@bkfiona,Biltmore Estate NV Blanc de Noir Brut Sparkling (America),Sparkling Blend,Biltmore Estate
Portugal,lightest series win feature avesso grape herbal crisp plenty acidity also fruity ready drink ,Avesso & Azal,87,13.0,Vinho Verde,,,Roger Voss,@vossroger,Casa de Vilacetinho 2016 Avesso & Azal White (Vinho Verde),Portuguese White,Casa de Vilacetinho
Portugal,smooth redberry fruit give wine glow ripen blend touriga nacional syrah alicante bouschet dense full dark berry touch wood age smooth everything drink ,Fortissimo,87,15.0,Alentejano,,,Roger Voss,@vossroger,Casa Santos Lima 2015 Fortissimo Red (Alentejano),Portuguese Red,Casa Santos Lima
Portugal,densely tannic wine bold linear concentrate chocolate spice flavor rich black fruit layer acidity tight mineral texture still firm wine likely soften drink ,Vertice Grande Reserva,87,26.0,Douro,,,Roger Voss,@vossroger,Caves Transmontanas 2013 Vertice Grande Reserva Red (Douro),Portuguese Red,Caves Transmontanas
Portugal,wine come vineyards outside boundaries dão region typical blend show minerality well rich fruit soft tannins wine balance stylish deliciously ready drink ,D. Fuas Reserva,87,10.0,Terras do Dão,,,Roger Voss,@vossroger,Caves Velhas 2014 D. Fuas Reserva Red (Terras do Dão),Portuguese Red,Caves Velhas
US,quite sweet quite delicious ripe fruity wine lot black plum dry cherry raisin flavor soft texture linger berrypie finish ,Ten Zin,87,30.0,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Deaver 2013 Ten Zin Zinfandel (Amador County),Zinfandel,Deaver
US,pleasant easydrinking wine five different pinot noir clone mix citrus berry flavor age 30 new oak nicely balance firm acidity ,,87,25.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Dion 2015 Pinot Noir (Chehalem Mountains),Pinot Noir,Dion
Argentina,racy plum cherry aromas lead edgy palate bold acidity crisp foxy flavor raspberry plum finish spicy pronounce acidity wine emphasize acidity freshness ripen heft ,Finca Lalande,87,16.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Domaine Bousquet 2016 Finca Lalande Malbec (Mendoza),Malbec,Domaine Bousquet
France,wine come large familyowned estate islands east coast load bright fruit crisp acidity round ripe red berryinflected aftertaste drink ,,87,25.0,France Other,Corse,,Roger Voss,@vossroger,Domaine Campu Vecchiu 2016 Rosé (Corse),Rosé,Domaine Campu Vecchiu
France,soft texture allow room crisp apple flavor otherwise smooth round wine fruitiness acidity part parcel ripe wine drink ,Benoît Girard,87,25.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Domaine Girard 2016 Benoît Girard  (Sancerre),Sauvignon Blanc,Domaine Girard
France,light fruit crisp acidity bright light brim citrus apples wine ready drink come western end muscadet vineyards near lac de grandlieu ,Les Parcelles Sur Lie,87,12.0,Loire Valley,Muscadet Côtes de Grandlieu,,Roger Voss,@vossroger,Domaine les Hautes Noëlles 2016 Les Parcelles Sur Lie  (Muscadet Côtes de Grandlieu),Melon,Domaine les Hautes Noëlles
Portugal,make drink young fruity softly structure wine ripe blackberry fruit touch spice wood age line attractive acidity drink ,Ardósia Tinto,87,13.0,Tejo,,,Roger Voss,@vossroger,Quinta da Ribeirinha 2015 Ardósia Tinto Red (Tejo),Portuguese Red,Quinta da Ribeirinha
Portugal,quinta wine plateau north douro river produce redfruit wine rich soft tannins juicy fruitiness wood age already well integrate bold ripe wine drink ,Porrais,87,15.0,Douro,,,Roger Voss,@vossroger,Quinta de Porrais 2015 Porrais Red (Douro),Portuguese Red,Quinta de Porrais
